tracking_id,datetime,windmill_generated_power(kW/h)
WM_19817,2019-04-17 08:53:20,2.5387511
WM_18723,2019-03-30 07:43:20,2.5267875
WM_34552,2019-08-10 11:33:20,3.151334
WM_28570,2019-06-26 03:53:20,8.571926
WM_36934,2019-08-27 16:43:20,3.7575707
WM_46,2018-10-29 04:43:20,7.5848484
WM_5545,2018-12-16 15:13:20,4.548123
WM_6959,2018-12-27 01:53:20,11.020636
WM_9565,2019-01-14 13:43:20,8.07205
WM_33379,2019-08-02 03:33:20,2.4853122
WM_24358,2019-05-24 04:23:20,5.9801674
WM_38536,2019-09-10 00:23:20,8.05378
WM_30740,2019-07-11 20:33:20,7.0696607
WM_32731,2019-07-28 12:23:20,5.64371
WM_14062,2019-02-17 14:03:20,8.355719
WM_15294,2019-02-27 03:03:20,11.23994
WM_36014,2019-08-21 06:03:20,5.6515245
WM_5050,2018-12-11 01:23:20,12.317101
WM_17819,2019-03-22 11:53:20,2.6211784
WM_1759,2018-11-13 16:23:20,3.1831214
WM_27254,2019-06-16 12:13:20,4.525183
WM_14482,2019-02-20 17:53:20,7.0403724
WM_40277,2019-09-23 05:03:20,4.3406925
WM_23364,2019-05-17 04:43:20,6.067459
WM_35071,2019-08-14 02:53:20,8.657686
WM_1240,2018-11-09 20:43:20,4.633647
WM_193,2018-10-30 05:43:20,8.312776
WM_31417,2019-07-16 15:23:20,7.750864
WM_37853,2019-09-05 02:13:20,5.84924
WM_34415,2019-08-09 12:13:20,2.7086291
WM_20130,2019-04-22 05:03:20,3.4687665
WM_36985,2019-08-28 01:13:20,3.2854025
WM_32816,2019-07-29 02:53:20,7.8090234
WM_9659,2019-01-15 06:03:20,9.211391
WM_34192,2019-08-07 22:13:20,5.742825
WM_7124,2018-12-28 06:43:20,8.991432
WM_35945,2019-08-20 18:33:20,5.312847
WM_29448,2019-07-02 12:43:20,4.116532
WM_26129,2019-06-08 07:53:20,3.792198
WM_3566,2018-11-29 22:53:20,6.494585
WM_1340,2018-11-10 15:23:20,3.1910877
WM_14304,2019-02-19 08:33:20,6.649758
WM_22513,2019-05-11 04:33:20,4.899359
WM_15672,2019-03-01 19:03:20,11.688456
WM_28793,2019-06-27 17:53:20,1.4980904
WM_13683,2019-02-14 16:33:20,7.358236
WM_8450,2019-01-06 15:23:20,8.243688
WM_39606,2019-09-17 19:03:20,7.491676
WM_33792,2019-08-05 01:43:20,7.8970027
WM_39434,2019-09-16 14:23:20,2.5681047
WM_16883,2019-03-14 00:13:20,2.8870316
WM_16423,2019-03-08 21:13:20,5.5871797
WM_19378,2019-04-07 14:43:20,4.276464
WM_35176,2019-08-14 20:23:20,8.010089
WM_39649,2019-09-18 02:13:20,5.985661
WM_16624,2019-03-11 23:43:20,2.2495093
WM_25236,2019-05-31 15:13:20,4.215573
WM_30165,2019-07-07 15:13:20,2.3475258
WM_11229,2019-01-26 21:13:20,11.300112
WM_22495,2019-05-11 01:33:20,5.238064
WM_1410,2018-11-11 03:43:20,2.7212389
WM_3502,2018-11-29 11:23:20,3.0494204
WM_11799,2019-02-01 03:53:20,9.541718
WM_22334,2019-05-09 20:43:20,5.7134566
WM_37802,2019-09-04 17:43:20,3.4105415
WM_6663,2018-12-24 23:53:20,10.694268
WM_29243,2019-07-01 01:43:20,5.532225
WM_5320,2018-12-14 23:53:20,7.139285
WM_16550,2019-03-10 15:43:20,6.882425
WM_2183,2018-11-16 16:43:20,3.8849466
WM_3438,2018-11-29 00:33:20,5.2084613
WM_36325,2019-08-23 10:03:20,2.910624
WM_8597,2019-01-07 16:23:20,5.558549
WM_31833,2019-07-19 14:33:20,5.227913
WM_10149,2019-01-18 22:33:20,10.424024
WM_38811,2019-09-11 22:23:20,8.353721
WM_31073,2019-07-14 05:13:20,3.912292
WM_1314,2018-11-10 11:03:20,5.152429
WM_28386,2019-06-24 20:03:20,8.906218
WM_198,2018-10-30 06:33:20,9.50433
WM_10525,2019-01-21 14:03:20,4.4794126
WM_11900,2019-02-01 21:03:20,11.301768
WM_18459,2019-03-27 07:03:20,3.8571103
WM_33737,2019-08-04 16:33:20,6.225859
WM_1851,2018-11-14 08:03:20,2.4082174
WM_21673,2019-05-05 04:43:20,4.488304
WM_6566,2018-12-24 07:23:20,9.793904
WM_36845,2019-08-27 01:53:20,3.0437412
WM_7916,2019-01-02 19:43:20,12.112693
WM_27896,2019-06-21 06:43:20,5.837631
WM_21392,2019-05-02 11:33:20,3.4031262
WM_27683,2019-06-19 18:13:20,4.59898
WM_8769,2019-01-08 22:13:20,3.6826549
WM_30312,2019-07-08 17:53:20,5.2409616
WM_29472,2019-07-02 16:43:20,4.3024383
WM_3189,2018-11-27 06:33:20,8.761153
WM_18130,2019-03-24 20:13:20,6.395358
WM_36279,2019-08-23 02:23:20,8.513321
WM_28062,2019-06-22 12:03:20,5.1858373
WM_20790,2019-04-28 07:03:20,2.5707705
WM_18167,2019-03-25 02:43:20,5.5408864
WM_1118,2018-11-08 18:03:20,14.950126
WM_23657,2019-05-19 06:23:20,3.9040706
WM_37530,2019-09-02 20:23:20,7.1251655
WM_29981,2019-07-06 08:03:20,3.9441416
WM_40227,2019-09-22 20:43:20,7.334189
WM_1525,2018-11-11 23:43:20,6.805666
WM_2323,2018-11-17 16:13:20,3.082998
WM_19419,2019-04-07 21:43:20,6.873424
WM_18221,2019-03-25 13:43:20,3.9858093
WM_22827,2019-05-13 10:53:20,2.4414337
WM_37941,2019-09-05 16:53:20,5.319287
WM_18696,2019-03-29 17:43:20,3.40835
WM_39197,2019-09-14 22:33:20,7.5089207
WM_13378,2019-02-12 12:13:20,6.668714
WM_29514,2019-07-02 23:53:20,7.9186206
WM_20666,2019-04-27 10:23:20,3.5002177
WM_1354,2018-11-10 17:43:20,3.115136
WM_39840,2019-09-19 10:03:20,3.273578
WM_12741,2019-02-07 19:23:20,5.7282796
WM_11752,2019-01-31 20:03:20,10.935064
WM_2001,2018-11-15 10:03:20,4.5397286
WM_19586,2019-04-09 05:13:20,3.888727
WM_25038,2019-05-29 23:23:20,5.756739
WM_39554,2019-09-17 10:23:20,2.178229
WM_12904,2019-02-08 23:03:20,6.293281
WM_36694,2019-08-26 00:23:20,6.4946427
WM_34522,2019-08-10 06:23:20,3.5677085
WM_8354,2019-01-05 22:33:20,10.243841
WM_677,2018-11-05 06:43:20,2.534144
WM_25764,2019-06-05 13:13:20,4.707701
WM_16078,2019-03-06 10:13:20,9.36828
WM_7290,2018-12-29 10:23:20,10.494795
WM_18298,2019-03-26 04:13:20,2.9145284
WM_22074,2019-05-07 23:43:20,6.63377
WM_28715,2019-06-27 04:43:20,7.1850953
WM_24669,2019-05-26 11:43:20,4.405448
WM_27581,2019-06-18 21:13:20,7.7624803
WM_4217,2018-12-04 23:53:20,5.7193327
WM_1060,2018-11-08 08:03:20,2.7875385
WM_11788,2019-02-01 02:03:20,8.118842
WM_5520,2018-12-16 11:03:20,7.817109
WM_13297,2019-02-11 21:03:20,3.2662895
WM_14468,2019-02-20 15:33:20,8.690761
WM_38965,2019-09-13 00:03:20,6.7660017
WM_33740,2019-08-04 17:03:20,5.5549073
WM_24325,2019-05-23 22:13:20,6.4690523
WM_7300,2018-12-29 12:03:20,9.635531
WM_25751,2019-06-05 10:53:20,4.658107
WM_4599,2018-12-07 19:13:20,8.182088
WM_13819,2019-02-15 19:23:20,9.635024
WM_1400,2018-11-11 02:03:20,4.8837214
WM_5810,2018-12-18 13:03:20,8.157274
WM_31877,2019-07-19 21:53:20,7.2488403
WM_6638,2018-12-24 19:43:20,10.419787
WM_21861,2019-05-06 12:13:20,4.401158
WM_38854,2019-09-12 05:33:20,8.379344
WM_35192,2019-08-14 23:03:20,6.9556637
WM_15524,2019-02-28 18:13:20,11.90663
WM_39762,2019-09-18 21:03:20,7.6393986
WM_1677,2018-11-13 01:23:20,3.484335
WM_30487,2019-07-10 01:03:20,7.5802965
WM_28108,2019-06-22 19:53:20,7.822442
WM_1173,2018-11-09 04:33:20,3.311791
WM_38104,2019-09-06 20:03:20,7.7069316
WM_33708,2019-08-04 11:43:20,5.106819
WM_5710,2018-12-17 19:43:20,4.8958354
WM_9131,2019-01-11 11:43:20,6.6515613
WM_27368,2019-06-17 08:33:20,2.8344815
WM_6290,2018-12-22 02:23:20,8.386822
WM_39569,2019-09-17 12:53:20,4.5126657
WM_4462,2018-12-06 19:33:20,8.658605
WM_18269,2019-03-25 23:23:20,3.0826354
WM_20718,2019-04-27 19:03:20,4.4514427
WM_9069,2019-01-11 01:23:20,7.3981934
WM_40064,2019-09-21 17:33:20,8.288256
WM_18319,2019-03-26 07:43:20,6.4103146
WM_19859,2019-04-17 16:13:20,5.068963
WM_8317,2019-01-05 16:23:20,7.0353985
WM_37997,2019-09-06 02:13:20,6.6296477
WM_27496,2019-06-18 06:33:20,5.543976
WM_35835,2019-08-20 00:13:20,5.6171465
WM_25495,2019-06-02 18:53:20,4.2168775
WM_6754,2018-12-25 15:03:20,13.042148
WM_8914,2019-01-09 23:03:20,3.6577907
WM_3385,2018-11-28 15:43:20,3.262619
WM_22206,2019-05-08 22:13:20,4.1610465
WM_18913,2019-04-03 21:33:20,3.167627
WM_19326,2019-04-07 06:03:20,3.2030325
WM_23644,2019-05-19 04:13:20,6.51642
